UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,month,text,label
29727,74679,Glasgow,01-04-2020,"How should retail lenders be supporting their customers, particularly vulnerable customers, during the #coronavirus crisis https://t.co/fuqjTQUQGS https://t.co/9acYr4rqhE",Negative,1,"How should retail lenders be supporting their customers, particularly vulnerable customers, during the coronavirus crisis url url",0
29730,74682,Hopefully not Garden Center,01-04-2020,What do you have to say now Marvin How many more must die for your stock prices,Extremely Negative,1,What do you have to say now Marvin How many more must die for your stock prices,0
29731,74683,"Connecticut, USA",01-04-2020,IÂm starting to like this social distancing thing..I never really liked you mfs next to me in the supermarket anyway! #SocialDistance #COVID?19 #WednesdayThoughts #coronavirus,Neutral,1,IÂm starting to like this social distancing thing..I never really liked you mfs next to me in the supermarket anyway! SocialDistance COVID?19 WednesdayThoughts coronavirus,1
29732,74684,"Grand Rapids, MI",01-04-2020,For the first time weÂre learning about the 71-year-old Kent County man who died from COVID-19. ?@WOODTV?  https://t.co/QNNp8dSMXF,Negative,1,For the first time weÂre learning about the 71-year-old Kent County man who died from COVID-19. ??  url,0
29734,74686,"Waterford, Ireland",01-04-2020,"I seen a few people in the supermarket wearing gloves, fellas that don't wash themselves from one end of the week to the next ?? #COVID?19 #coronavirus",Neutral,1,"I seen a few people in the supermarket wearing gloves, fellas that don't wash themselves from one end of the week to the next ?? COVID?19 coronavirus",1
29735,74687,Adn ,01-04-2020,"@HiromiNane Covid 19 still haunted my country and the scariest thing is not about the virus itself but food , i need to stock food so at least i wont die by hunger while im in quarantine , thanks",Extremely Positive,1,"Covid 19 still haunted my country and the scariest thing is not about the virus itself but food , i need to stock food so at least i wont die by hunger while im in quarantine , thanks",2
29736,74688,Boston,01-04-2020,Food banks struggle as demand explodes thanks to layoffs By Tami Luhby CNN,Neutral,1,Food banks struggle as demand explodes thanks to layoffs By Tami Luhby CNN,1
29738,74690,San Diego,01-04-2020,The Coronavirus Outbreak Has Been Accompanied By A Surge In Consumer Fraud,Negative,1,The Coronavirus Outbreak Has Been Accompanied By A Surge In Consumer Fraud,0
29740,74692,"Cardiff Bay, Wales",01-04-2020,"Well in times of #lockdown the only thing to do is online shopping from Germany ?? 
#coronavirus #COVID19 #NoLongerATravellingPA https://t.co/bN15y8mZ6w",Positive,1,"Well in times of lockdown the only thing to do is online shopping from Germany ?? 
coronavirus COVID19 NoLongerATravellingPA url",2
29741,74693,Kampala-UG,01-04-2020,CS Munya said this could create an unwarranted shock in the market,Negative,1,CS Munya said this could create an unwarranted shock in the market,0
29748,74700,"Kansas City, MO",01-04-2020,Great economy that relies solely on consumer overspending apparently.#Coronavirus,Extremely Positive,1,Great economy that relies solely on consumer overspending apparently.Coronavirus,2
29750,74702,"Toronto, ON",01-04-2020,Local food banks prepare for sharp increase in demand due to COVID 19,Positive,1,Local food banks prepare for sharp increase in demand due to COVID 19,2
29752,74704,"Sydney, Australia",01-04-2020,"Home-lending backdrop to slow slide in property prices
@corelogicau #mortgages #homeloans #lending #property #housing #covid19 #coronavirus 
https://t.co/SD1hvpZrRP",Neutral,1,"Home-lending backdrop to slow slide in property prices
 mortgages homeloans lending property housing covid19 coronavirus 
url",1
29753,74705,Around,01-04-2020,"Covid-19 made you all stock up food, but it made me stock-up books. What are you feeding your mind this period ? #StayAtHome #staysafe #COVID19 https://t.co/YGtkmmdx1Y",Neutral,1,"Covid-19 made you all stock up food, but it made me stock-up books. What are you feeding your mind this period ? StayAtHome staysafe COVID19 url",1
29755,74707,NYC,01-04-2020,"Brand response to #coronavirus pandemic vital for consumer trust according to @EdelmanPR. Via @Adweek 

#marketing #brand https://t.co/jPtMW4UNeT",Extremely Positive,1,"Brand response to coronavirus pandemic vital for consumer trust according to . Via  

marketing brand url",2
29758,74710,"Washington, DC",01-04-2020,credit How can people deal with anxiety brought on by this Here are tips from expert Lynn Hagan on s Help Starts Here consumer website,Positive,1,credit How can people deal with anxiety brought on by this Here are tips from expert Lynn Hagan on s Help Starts Here consumer website,2
29699,74651,"Denver, Colorado",01-04-2020,"Colorado's 2 largest oil/gas producers cutting pay, hours of employees to weather the economic storm of #coronavirus, falling oil prices https://t.co/IfGxrZWt9S",Negative,1,"Colorado's 2 largest oil/gas producers cutting pay, hours of employees to weather the economic storm of coronavirus, falling oil prices url",0
29696,74648,Earth. ,01-04-2020,"#Jib : Youths In #Bayelsa State Storm Markets To Ensure Traders Don't Increase Prices Of Food Items Due To #coronavirus (Photos): https://t.co/5h2SGEyyc6

#COVID?19",Positive,1,"Jib : Youths In Bayelsa State Storm Markets To Ensure Traders Don't Increase Prices Of Food Items Due To coronavirus (Photos): url

COVID?19",2
29692,74644,"Bolton, United Kingdom",01-04-2020,A friend sent me a picture from a supermarket in Milan ,Positive,1,A friend sent me a picture from a supermarket in Milan,2
29691,74643,"Bolton, United Kingdom",01-04-2020,People stocked up on food in Casalpusterlengo one of several northern Italian towns on lockdown due to an outbreak of in northern Italy,Neutral,1,People stocked up on food in Casalpusterlengo one of several northern Italian towns on lockdown due to an outbreak of in northern Italy,1
29612,74564,Manchester,01-04-2020,With the impact of pandemic many sectors are benefiting from the practice of social distancing Up 25 Online Grocery Shopping Up 100 Virus Protection Products Up 807,Neutral,1,With the impact of pandemic many sectors are benefiting from the practice of social distancing Up 25 Online Grocery Shopping Up 100 Virus Protection Products Up 807,1
29614,74566,"Leeds, England",01-04-2020,"COVID-19 panic-buyers are now binning out-of-date food ????

https://t.co/ksVrKhZ9rZ

#PanicBuying #Coronavirus #FoodWaste https://t.co/A1CUYJfqfU",Negative,1,"COVID-19 panic-buyers are now binning out-of-date food ????

url

PanicBuying Coronavirus FoodWaste url",0
29616,74568,United States,01-04-2020,"Warning from the @FTC: Want to get your #Coronavirus relief check? Scammers do too.
https://t.co/jl41DufRpG",Positive,1,"Warning from the : Want to get your Coronavirus relief check? Scammers do too.
url",2
29617,74569,TrumpÂs Nightmares,01-04-2020,Want to get your #Coronavirus relief check? Scammers do too. https://t.co/oyhEGPVM5V,Positive,1,Want to get your Coronavirus relief check? Scammers do too. url,2
29626,74578,"Atlanta, GA",01-04-2020,ISyE Professor s recent blog post discusses the impact of panic buying on grocery store supply chains that have been optimized to meet predictable demand Here s what happens,Negative,1,ISyE Professor s recent blog post discusses the impact of panic buying on grocery store supply chains that have been optimized to meet predictable demand Here s what happens,0
29627,74579,WORLDWIDE,01-04-2020,COVID-ALERT: How the coronavirus consumer bailout can get you cash - Global Pandemic News | #Coronavirus #COVID19 - https://t.co/kKXe61Roir https://t.co/d2lLHPDj7K,Positive,1,COVID-ALERT: How the coronavirus consumer bailout can get you cash - Global Pandemic News | Coronavirus COVID19 - url url,2
29639,74591,Australia,01-04-2020,Daily Telegraph Supermarket giant IGA has launched its first home delivery service to help support older and more vulnerable customers during the crisis That s our team s latest project,Negative,1,Daily Telegraph Supermarket giant IGA has launched its first home delivery service to help support older and more vulnerable customers during the crisis That s our team s latest project,0
29643,74595,Malvern,01-04-2020,"#Coronavirus #Supermarkets #Malvern @MalvernObserver https://t.co/pmpWrIxL3L Supermarket opening times for everyone, NHS workers and specifically for the elderly and vulnerable",Negative,1,"Coronavirus Supermarkets Malvern  url Supermarket opening times for everyone, NHS workers and specifically for the elderly and vulnerable",0
29646,74598,New York,01-04-2020,German vegetable prices may rise as coronavirus disrupts crop work - lobby $DBVT #coronavirus #COVID2019 https://t.co/V8qilSISXa,Neutral,1,German vegetable prices may rise as coronavirus disrupts crop work - lobby $DBVT coronavirus COVID2019 url,1
29648,74600,Indianapolis,01-04-2020,is an economic issue as well as a medical one In partnership with we re launching the Commerce Insight platform to show the impact on global amp regional consumer spending,Positive,1,is an economic issue as well as a medical one In partnership with we re launching the Commerce Insight platform to show the impact on global amp regional consumer spending,2
29760,74712,"Victoria Island, Nigeria",01-04-2020,"""Covid-19:In store versus online shopping"" by @vocal_creators https://t.co/qI66bPUFFj",Neutral,1,"""Covid-19:In store versus online shopping"" by  url",1
29650,74602,"East Butler, PA",01-04-2020,Whether you are looking to implement social distancing in a manufacturing facility or a supermarket check out line and has plenty of durable demarcation systems to help increase safety,Extremely Positive,1,Whether you are looking to implement social distancing in a manufacturing facility or a supermarket check out line and has plenty of durable demarcation systems to help increase safety,2
29653,74605,Block Island RI USA,01-04-2020,#RhodeIsland @GovRaimondo announces https://t.co/QRFkYXMDM4 grocery delivery service for #Coronavirus quarantiners; partnering with #RI based supermarket.,Neutral,1,RhodeIsland  announces url grocery delivery service for Coronavirus quarantiners; partnering with RI based supermarket.,1
29655,74607,Coyote Flats,01-04-2020,"If youÂre wondering how the self-isolation is going, my bathroom scale just asked Alexa to check out hog prices.
#COVID_19",Negative,1,"If youÂre wondering how the self-isolation is going, my bathroom scale just asked Alexa to check out hog prices.
COVID_19",0
29657,74609,Occupied Lenape Land,01-04-2020,@cunygradstudies food service workers have been laid off during the pandemic. Sign this petition and agitate to have this be reversed! https://t.co/epCc7oOcKK,Negative,1,food service workers have been laid off during the pandemic. Sign this petition and agitate to have this be reversed! url,0
29664,74616,"Kansas City, MO",01-04-2020,"Here's the week-by-week conversational topics related to coronavirus. LEARN MORE: https://t.co/w1aVkfP1Zx

#coronavirus #socialmedia #branding #Analytics https://t.co/bcPaQh8rCf",Neutral,1,"Here's the week-by-week conversational topics related to coronavirus. LEARN MORE: url

coronavirus socialmedia branding Analytics url",1
29665,74617,"Philadelphia, PA",01-04-2020,This article answers an important question how best to shop for groceries 19,Extremely Positive,1,This article answers an important question how best to shop for groceries 19,2
29666,74618,UK,01-04-2020,Next stops online shopping amid UK coronavirus restrictions https://t.co/JrwvLLHMif c/o @guardian #retailnews #onlineshopping #Next #retailstores #coronavirus https://t.co/fSQ23dwUd1,Negative,1,Next stops online shopping amid UK coronavirus restrictions url c/o  retailnews onlineshopping Next retailstores coronavirus url,0
29667,74619,"Montreal, Quebec, Canada",01-04-2020,"Le Toy Van wooden toys back in stock!!! Enjoy our selection of wood toys at the lowest prices.
#toystore #toys #games #smallbusiness #coronavirus #wereopen #kidstoys https://t.co/2INzfgXAVH",Positive,1,"Le Toy Van wooden toys back in stock!!! Enjoy our selection of wood toys at the lowest prices.
toystore toys games smallbusiness coronavirus wereopen kidstoys url",2
29669,74621,Ghana,01-04-2020,Kenyan manufacturers unveil online shopping #portal to battle #coronavirus https://t.co/MVuoEc4pzX #kenyanmanufacturers,Negative,1,Kenyan manufacturers unveil online shopping portal to battle coronavirus url kenyanmanufacturers,0
29671,74623,"St Louis, MO",01-04-2020,"I saw a guy in a MAGA shirt at the supermarket today.
I called him an asshole.
#catharsus
#MAGACreatedCoronaWorld
#coronavirus",Neutral,1,"I saw a guy in a MAGA shirt at the supermarket today.
I called him an asshole.
catharsus
MAGACreatedCoronaWorld
coronavirus",1
29678,74630,"Vermont, USA",01-04-2020,Vermont shoppers hoping to grab an exercise mat or a video game inside Walmart are out of luck via WMT,Extremely Positive,1,Vermont shoppers hoping to grab an exercise mat or a video game inside Walmart are out of luck via WMT,2
29682,74634,London,01-04-2020,Are you classified as a vulnerable shopper From Tesco to Morrisons   Beard runs down what all the UK supermarkets are doing for you   and she explains how to get priority home delivery,Negative,1,Are you classified as a vulnerable shopper From Tesco to Morrisons   Beard runs down what all the UK supermarkets are doing for you   and she explains how to get priority home delivery,0
29686,74638,Bristol,01-04-2020,"I have been social distancing so much that when I went to the supermarket after work, I parked my car so it was social distancing from the other cars ????? #coronavirus",Neutral,1,"I have been social distancing so much that when I went to the supermarket after work, I parked my car so it was social distancing from the other cars ????? coronavirus",1
29651,74603,India,01-04-2020,Apple has confirmed that all retail employees regardless of participation are being paid their full salaries and benefits,Positive,1,Apple has confirmed that all retail employees regardless of participation are being paid their full salaries and benefits,2
29608,74560,"Mississauga, Ontario",01-04-2020,"Online shopping are open 24/7

https://t.co/O8grODHxoA
https://t.co/xTsceyKKtG

#coronavirus 
#covid19
#quarantine 
#isolated 
#stayhome
#14days https://t.co/Ya06EJRedF",Neutral,1,"Online shopping are open 24/7

url
url

coronavirus 
covid19
quarantine 
isolated 
stayhome
14days url",1
29761,74713,Hyderabad,01-04-2020,"Using hand sanitizer is one of the most effective ways to protect yourself and others from the #coronavirus...
#StopCoronaVirus #StayHomeStaySafe https://t.co/CJjI1ly574",Extremely Positive,1,"Using hand sanitizer is one of the most effective ways to protect yourself and others from the coronavirus...
StopCoronaVirus StayHomeStaySafe url",2
29764,74716,Lagos - Nigeria,01-04-2020,"#news #metropolitan - COVID-19: Lagos continues food distribution, residents demand more https://t.co/KuD5eLVTK2",Negative,1,"news metropolitan - COVID-19: Lagos continues food distribution, residents demand more url",0
29862,74814,"Richmond, VA",01-04-2020,"In Richmond, local boutiques and thrift stores are searching for new ways to serve customers and keep their businesses running. 
https://t.co/nMHIJkcbsz",Neutral,1,"In Richmond, local boutiques and thrift stores are searching for new ways to serve customers and keep their businesses running. 
url",1
29863,74815,"Austin, TX",01-04-2020,Want to get your #Coronavirus relief check? #Scammers do too. | FTC Consumer Information https://t.co/jgUNH74BuT #fraud #banking #idtheft,Positive,1,Want to get your Coronavirus relief check? Scammers do too. | FTC Consumer Information url fraud banking idtheft,2
29864,74816,"Los Angeles, CA",01-04-2020,"Key question for #Coronavirus: 

Is consumer behavior fundamentally altered after recovery or not?",Neutral,1,"Key question for Coronavirus: 

Is consumer behavior fundamentally altered after recovery or not?",1
29865,74817,"Tallahassee, Fl",01-04-2020,@AGAshleyMoody issued a consumer alert to warn Floridians about scammers using the new #coronavirus stimulus package to target Floridians. #MustSeeTFC #COVID19 https://t.co/B8j9NuV2Xk,Positive,1,issued a consumer alert to warn Floridians about scammers using the new coronavirus stimulus package to target Floridians. MustSeeTFC COVID19 url,2
29866,74818,United States,01-04-2020,"Grocery shopping gets weird as we adjust to 'new normal' amid #Coronavirus pandemic

https://t.co/jy3yfEMhG5 https://t.co/gpLjxCLjT6",Negative,1,"Grocery shopping gets weird as we adjust to 'new normal' amid Coronavirus pandemic

url url",0
29867,74819,"Dublin, Ireland",01-04-2020,"Restaurant strategy during coronavirus outbreak - Think with Google

#coronavirus #food #restaurant #covin18
https://t.co/6wVtkN0hVI",Neutral,1,"Restaurant strategy during coronavirus outbreak - Think with Google

coronavirus food restaurant covin18
url",1
29868,74820,Oman,01-04-2020,"The Public Authority for Consumer Protection (PACP) have seized illegal masks.
@pacp_oman 
#coronavirus

https://t.co/TMhyWzQ8Dq",Negative,1,"The Public Authority for Consumer Protection (PACP) have seized illegal masks.
 
coronavirus

url",0
29870,74822,"San Francisco, CA",01-04-2020,"Transurban to hike up toll prices for motorists, despite coronavirus https://t.co/TxI5wsS6GG via @MailOnline #tollroads #trucking #truckers #infrastructure #Transportation #transurban #coronavirus",Neutral,1,"Transurban to hike up toll prices for motorists, despite coronavirus url via  tollroads trucking truckers infrastructure Transportation transurban coronavirus",1
29876,74828,USA TODAY,01-04-2020,"It used to be a perk, but now curbside pickup is becoming increasingly important. https://t.co/LX4rmikoNG",Positive,1,"It used to be a perk, but now curbside pickup is becoming increasingly important. url",2
29879,74831,Vietnam,01-04-2020,Quarantine. Building lockdown. So I do some online shopping. Hey canÂt miss their 50% off #pierrecardin #Vietnam #coronavirus #lockdown #QuarantineLife https://t.co/qKfOnBklbH,Negative,1,Quarantine. Building lockdown. So I do some online shopping. Hey canÂt miss their 50% off pierrecardin Vietnam coronavirus lockdown QuarantineLife url,0
29880,74832,Bo'ness. West Lothian.Scotland,01-04-2020,Nurse thinks she's contracted COVID-19 https://t.co/Fo89PGVmXU via @Femail,Neutral,1,Nurse thinks she's contracted COVID-19 url via,1
29882,74834,"Abuja, Nigeria",01-04-2020,"#Covid_19: Hunger dey everywhere! Abeg, Bring down prices Â Ezinne Aja yan Food Sellers https://t.co/4eLx394fRH",Negative,1,"Covid_19: Hunger dey everywhere! Abeg, Bring down prices Â Ezinne Aja yan Food Sellers url",0
29890,74842,United States,01-04-2020,Wish the government would give some kind of extra cash to grocery store workers. We are really putting ourselves at serious risk for pennies. #Covid_19,Positive,1,Wish the government would give some kind of extra cash to grocery store workers. We are really putting ourselves at serious risk for pennies. Covid_19,2
29893,74845,"Washington, DC",01-04-2020,@SullyCNBC Remember in the Before Time when Trump told us how great it was that gasoline prices were down and we could all drive places? #coronavirus,Extremely Positive,1,Remember in the Before Time when Trump told us how great it was that gasoline prices were down and we could all drive places? coronavirus,2
29904,74856,Libya,01-04-2020,"We done our part of fighting #Covid_19 by simply staying home, but  libyan gov didnÂt provide cash, lower prices, improve health care or anything else.",Extremely Positive,1,"We done our part of fighting Covid_19 by simply staying home, but  libyan gov didnÂt provide cash, lower prices, improve health care or anything else.",2
29907,74859,Arlington VA USA,01-04-2020,Stay safe Stay strong We are separated but still together For anyone that needs this right now,Positive,1,Stay safe Stay strong We are separated but still together For anyone that needs this right now,2
29908,74860,??????,01-04-2020,"At the supermarket: especially not to do ...

#Covid_19  #COVID2019france  #coronavirusdeutschland 
#coronavirus  #coronavirusitalIa https://t.co/zEhDxeTisj",Neutral,1,"At the supermarket: especially not to do ...

Covid_19  COVID2019france  coronavirusdeutschland 
coronavirus  coronavirusitalIa url",1
29910,74862,"Columbus native, SE Ohio now.",01-04-2020,"How to Know if Your Supermarket Is Full Before You Go 
#coronavirus #COVID19 
#MAGAVirus #DarwinsWaitingRoom
https://t.co/Ntse1GOhKb via @Radiodotcom",Neutral,1,"How to Know if Your Supermarket Is Full Before You Go 
coronavirus COVID19 
MAGAVirus DarwinsWaitingRoom
url via",1
29917,74869,??????????????,01-04-2020,Now officially announced that my store will be closed at least until April 30th. I am going to have to file unemployment #retail #sandiego #COVID?19 #coronavirus #California #unemployment,Negative,1,Now officially announced that my store will be closed at least until April 30th. I am going to have to file unemployment retail sandiego COVID?19 coronavirus California unemployment,0
29919,74871,Paris,01-04-2020,#COVID19 #Coronavirus may cause global food shortages as panic buying and export curbs hit supply.  https://t.co/BCSfGEcvYC,Negative,1,COVID19 Coronavirus may cause global food shortages as panic buying and export curbs hit supply.  url,0
29921,74873,"Los Angeles, CA",01-04-2020,Packs going out at discount prices for the weekend stay home stay safe health is wealth  ,Extremely Positive,1,Packs going out at discount prices for the weekend stay home stay safe health is wealth,2
29925,74877,"New York, USA",01-04-2020,Protect Yourself From #Coronavirus Grocery Shopping - Consumer Reports https://t.co/wKGGyajl3f,Positive,1,Protect Yourself From Coronavirus Grocery Shopping - Consumer Reports url,2
29860,74812,"Norman, OK",01-04-2020,Is this current situation making anyone else want to online shop more? #COVID?19 #coronavirus #Quarantine #shopping #isolationdiaries #WednesdayThoughts #StayHome,Positive,1,Is this current situation making anyone else want to online shop more? COVID?19 coronavirus Quarantine shopping isolationdiaries WednesdayThoughts StayHome,2
29855,74807,"Washington, DC",01-04-2020,#Coronavirus has more Americans turning directly to farms for food https://t.co/diBfw3RjZ5 via @politico #sdg2 #farmtofork #IamWANDA,Neutral,1,Coronavirus has more Americans turning directly to farms for food url via  sdg2 farmtofork IamWANDA,1
29853,74805,USA,01-04-2020,No #Coronavirus Break for Consumer #CreditScores. Credit industry persuaded #Congress it would protect people who miss payments due to virus; consumer groups push back  - @WSJ https://t.co/SGluVgum0F,Positive,1,No Coronavirus Break for Consumer CreditScores. Credit industry persuaded Congress it would protect people who miss payments due to virus; consumer groups push back  -  url,2
29768,74720,Malaysia,01-04-2020,"#NSTnation Market-goers on #Penang island will only be allowed 20 minutes to shop.

#Covid19 #Coronavirus #MCO #Phase2 #MovementControlOrder #JustStayAtHome #DudukRumah
https://t.co/DfPOyeqPxD",Neutral,1,"NSTnation Market-goers on Penang island will only be allowed 20 minutes to shop.

Covid19 Coronavirus MCO Phase2 MovementControlOrder JustStayAtHome DudukRumah
url",1
29773,74725,"Arlington, VA | New York, NY",01-04-2020,"ÂWe're just seeing a lot more of the recently unemployed in our lines,Â says @dlrichins of United Food Bank https://t.co/c3LwkP3f1e",Positive,1,"ÂWe're just seeing a lot more of the recently unemployed in our lines,Â says  of United Food Bank url",2
29777,74729,"Washington, London, New York",01-04-2020,"Consumers appear to be turning to #hemp &amp; #cannabis products during the current crisis.

#Coronavirus #COVID19

https://t.co/PZKzX6nKEL",Extremely Negative,1,"Consumers appear to be turning to hemp &amp; cannabis products during the current crisis.

Coronavirus COVID19

url",0
29779,74731,Brooklyn / the world,01-04-2020,"World risks food crisis in wake of coronavirus, WTO, WHO, and UN officials warn https://t.co/TUDf8BTayW",Extremely Negative,1,"World risks food crisis in wake of coronavirus, WTO, WHO, and UN officials warn url",0
29784,74736,Dallas Texas USA,01-04-2020,Â Chart: #Americans Stock Up On #Food as #COVID-19 Concerns Rise https://t.co/ioPMR78H8l,Neutral,1,Â Chart: Americans Stock Up On Food as COVID-19 Concerns Rise url,1
29790,74742,Brighton,01-04-2020,Supermarket staff are getting bonuses for working   https://t.co/BeStG4tsve #coronavirus #covid19 #employment #supermarkets,Positive,1,Supermarket staff are getting bonuses for working   url coronavirus covid19 employment supermarkets,2
29794,74746,"Washington, DC",01-04-2020,"Like so many retailers, the privately held department stores are attempting to shore up their finances amid the COVID-19 pandemic. https://t.co/h4HFnWtcKp",Positive,1,"Like so many retailers, the privately held department stores are attempting to shore up their finances amid the COVID-19 pandemic. url",2
29796,74748,"London, Home Counties, world",01-04-2020,Covid-19 #heroes: ÂThe #pub may be closed but that doesnÂt mean we canÂt help peopleÂ https://t.co/RJCkmLDVt5 #coronavirus,Positive,1,Covid-19 heroes: ÂThe pub may be closed but that doesnÂt mean we canÂt help peopleÂ url coronavirus,2
29797,74749,"London, Home Counties, world",01-04-2020,I'm on #furlough Â how do I claim 80pc of my pay from the #UK #Government? https://t.co/kjZgm5P6tT #coronavirus,Negative,1,I'm on furlough Â how do I claim 80pc of my pay from the UK Government? url coronavirus,0
29798,74750,"Wyoming, USA",01-04-2020,Better check @krispykreme stock prices ... #coronavirus #lockdown #sugar https://t.co/UGO9KsURZ0,Positive,1,Better check  stock prices ... coronavirus lockdown sugar url,2
29799,74751,Minneapolis,01-04-2020,"Gas slips below $1/gallon in Minnesota in a sign of where the economy will be in the next year.

https://t.co/efC2LFfLej

@StarTribune #minneapolis #mn #COVID19 #coronavirus",Neutral,1,"Gas slips below $1/gallon in Minnesota in a sign of where the economy will be in the next year.

url

 minneapolis mn COVID19 coronavirus",1
29811,74763,Cairo,01-04-2020,When the market thought there was no more room for another shock to drag down the already historical low natural gas prices coronavirus came on the scene With,Extremely Negative,1,When the market thought there was no more room for another shock to drag down the already historical low natural gas prices coronavirus came on the scene With,0
29818,74770,"Portland, Maine",01-04-2020,"Coronavirus-related closures impacting US fisheries, driving down prices &gt;&gt; https://t.co/WrWiFFghyB | #seafood #coronavirus https://t.co/1kps9UtMa1",Positive,1,"Coronavirus-related closures impacting US fisheries, driving down prices &gt;&gt; url | seafood coronavirus url",2
29820,74772,"Kensington, London",01-04-2020,How the is wreaking havoc for divorcing couples,Negative,1,How the is wreaking havoc for divorcing couples,0
29825,74777,"New York, NY",01-04-2020,"Our first report is out: ""Consumer Psychology in the Time of COVID-19"" https://t.co/cy0WnBX6vg #mrx #marketresearch #coronavirus #COVID19 #insights",Neutral,1,"Our first report is out: ""Consumer Psychology in the Time of COVID-19"" url mrx marketresearch coronavirus COVID19 insights",1
29827,74779,"Lakewood, WA",01-04-2020,"Checked a flight to NYC for fun to see how much prices are. From Seattle to NYC round trip as early as tomorrow, with tax it's only $199! #COVID19 #coronavirus",Positive,1,"Checked a flight to NYC for fun to see how much prices are. From Seattle to NYC round trip as early as tomorrow, with tax it's only $199! COVID19 coronavirus",2
29831,74783,"Florida, USA",01-04-2020,Faith Neighborhood Center Receives A Check From The Lions Club  https://t.co/x4HKigInNT https://t.co/11BqrymHvV,Positive,1,Faith Neighborhood Center Receives A Check From The Lions Club  url url,2
29834,74786,"Sacramento, CA",01-04-2020,Good thing IÂve been perfecting a dramatic hair flip for years. ItÂs really helped me out and not touching my face in the supermarket. #coronavirus ?? https://t.co/NG2fCpjQee,Extremely Positive,1,Good thing IÂve been perfecting a dramatic hair flip for years. ItÂs really helped me out and not touching my face in the supermarket. coronavirus ?? url,2
29835,74787,Michigan,01-04-2020,Household Products That Destroy Novel Coronavirus - Consumer Reports https://t.co/87g43fLb58 Stay safe Michigan! #TuesdayThoughts #FamiliesFirst #coronavirus,Positive,1,Household Products That Destroy Novel Coronavirus - Consumer Reports url Stay safe Michigan! TuesdayThoughts FamiliesFirst coronavirus,2
